"br","response_id"
"[Other. Please write in:] n/a",136141961
"[Other. Please write in:] None",136195603
"[Other. Please write in:] Doesn't apply to me",136371658
"[Other. Please write in:] Mexican",136468494
"[Other. Please write in:] African",136469340
"[Other. Please write in:] Mexican American",136470037
"[Other. Please write in:] Korean",136494804
"[Other. Please write in:] African American",136497881
"[Other. Please write in:] not native Hawaiian/pacific islander",136509048
"[Other. Please write in:] na",136509732
"[Other. Please write in:] Filipino",136520641
"[Other. Please write in:] Non",136523702
"[Other. Please write in:] I‚Äôm not native Hawaiian or Pacific Islander. I‚Äôm white",136599321
"[Other. Please write in:] Hispanic",136631908
"[Other. Please write in:] Shoshone Native American",138112957
"[Other. Please write in:] Pohnpeian",138116292
"[Other. Please write in:] Panamanian",138118670
"[Other. Please write in:] Onieda",138122211
"[Other. Please write in:] Polynesian",138140235
"[Other. Please write in:] K<U+2206>ívÖnaka",138140274
